bin_start,bin_end,file_count
0,1023,25
1024,2047,4
2048,3071,2
3072,4095,2
4096,5119,2
5120,6143,0
6144,7167,0
7168,8191,0
8192,9215,0
9216,10239,0
10240,11263,0
11264,12287,0
12288,13311,0
13312,14335,0
14336,15359,0
15360,16383,0
16384,17407,0
17408,18431,0
18432,19455,0
19456,20479,0
20480,21503,0
21504,22527,0
22528,23551,0
23552,24575,0
24576,25599,0
25600,26623,0
26624,27647,0
27648,28671,0
28672,29695,0
29696,30719,0
30720,31743,0
31744,32767,0
32768,33791,0
33792,34815,0
34816,35839,0
35840,36863,0
36864,37887,0
37888,38911,0
38912,39935,0
39936,40959,0
40960,41983,0
41984,43007,0
43008,44031,0
44032,45055,0
45056,46079,0
46080,47103,0
47104,48127,0
48128,49151,0
49152,50175,0
50176,51199,0
51200,52223,0
52224,53247,0
53248,54271,0
54272,55295,0
55296,56319,0
56320,57343,0
57344,58367,0
58368,59391,0
59392,60415,0
60416,61439,0
61440,62463,0
62464,63487,0
63488,64511,0
64512,65535,0
65536,66559,0
66560,67583,0
67584,68607,0
68608,69631,0
69632,70655,1
